"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"491",491,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12880341","OR",0.02097,0.00273647,0.0258,0.0703
"492",492,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12902047","OR",-0.01293,0.00214533,0.0129,0.0505
"493",493,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1292065","OR",-0.01392,0.00218669,-0.0251,0.052
"494",494,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12926107","OR",0.012636,0.0020014,-0.0594,0.0518
"495",495,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12928099","OR",-0.02821,0.00218133,0.0712,0.0532
"496",496,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12944954","OR",0.040034,0.00656519,0.1329,0.1609
"497",497,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13064956","OR",-0.01964,0.00310139,0.0054,0.0727
"498",498,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13066793","OR",-0.02246,0.00347278,-0.0823,0.0879
"499",499,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13101828","OR",-0.01183,0.00199956,-0.0013,0.0482
"500",500,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13107325","OR",0.030075,0.00377743,0.2291,0.1992
"501",501,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13108218","OR",-0.03052,0.00205811,-0.0116,0.0514
"502",502,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13251367","OR",-0.01129,0.00205404,-0.045,0.0493
"503",503,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13269725","OR",0.034988,0.0036804,0.0557,0.1274
"504",504,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13270882","OR",0.030463,0.00487114,0.0637,0.1163
"505",505,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs13389219","OR",-0.03762,0.00202704,-0.0745,0.0503
"506",506,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1340819","OR",-0.01217,0.00209472,-0.0205,0.0512
"507",507,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs134551","OR",-0.01165,0.00211111,-0.0372,0.0535
"508",508,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1347188","OR",0.013902,0.00231385,-0.0222,0.054
"509",509,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1351394","OR",0.013433,0.00198815,0.1292,0.048
"510",510,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs138191773","OR",-0.04717,0.00791884,-0.5669,0.3927
"511",511,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs138751626","OR",0.028452,0.00374993,0.183,0.121
"512",512,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs139076463","OR",0.039727,0.00668402,-0.0933,0.1465
"513",513,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs139098834","OR",-0.04388,0.00662963,0.1087,0.1447
"514",514,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs139453187","OR",0.023386,0.00391376,-0.1584,0.0945
"515",515,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs139974673","OR",0.143073,0.00623867,0.2467,0.3297
"516",516,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs140107293","OR",-0.0227,0.00275296,0.0843,0.0688
"517",517,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs141415727","OR",0.045607,0.00795592,0.2185,0.289
"518",518,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs141469619","OR",0.33152,0.0105893,0.1938,0.3967
"519",519,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs142385484","OR",-0.02322,0.00283842,-0.0295,0.0654
"520",520,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs142848030","OR",-0.04668,0.00723838,-0.28,0.1625
"521",521,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs143076454","OR",0.0404,0.00735364,0.0932,0.2062
"522",522,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs144171645","OR",-0.05121,0.00797381,0.1548,0.2403
"523",523,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs144246507","OR",-0.04161,0.00757698,-0.437,0.2876
"524",524,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs144423449","OR",-0.05363,0.00819344,0.1268,0.383
"525",525,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs144469617","OR",0.05188,0.00786956,-0.28,0.3078
"526",526,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs144470864","OR",0.031491,0.00440913,0.0486,0.0956
"527",527,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs145692474","OR",-0.07928,0.0127252,-0.1171,0.3689
"528",528,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs145775785","OR",-0.05017,0.00853782,0.2261,0.1296
"529",529,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs148482297","OR",0.059992,0.00631804,0.0421,0.2399
"530",530,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs149142833","OR",0.016936,0.00276509,0.1027,0.065
"531",531,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs149214447","OR",0.060878,0.00800404,0.45,0.4857
"532",532,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1495741","OR",-0.03759,0.00238193,-0.0192,0.0551
"533",533,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs149719228","OR",0.056502,0.00902236,0.2235,0.2938
"534",534,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1508103","OR",0.042058,0.00417066,0.0905,0.1215
"535",535,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs151235402","OR",0.052183,0.00815144,0.1461,0.1882
"536",536,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1534696","OR",-0.01977,0.00199128,-0.0731,0.0486
"537",537,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1552781","OR",-0.03327,0.00240258,-0.036,0.0524
"538",538,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1556124","OR",0.013598,0.00237994,-0.0171,0.0649
"539",539,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1561928","OR",0.018445,0.00309914,0.0304,0.072
"540",540,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1567353","OR",0.01482,0.00216358,0.0615,0.0506
"541",541,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs157935","OR",-0.01428,0.00216916,-0.1351,0.0491
"542",542,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs17146641","OR",0.016111,0.00286499,0.1157,0.0745
"543",543,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1728407","OR",0.011681,0.00200359,0.0174,0.0486
"544",544,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs17326656","OR",0.017439,0.00233365,0.0672,0.0648
"545",545,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs174566","OR",0.048502,0.00207982,-0.0055,0.0486
"546",546,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs17585887","OR",-0.02858,0.00201656,-0.0861,0.0479
"547",547,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1760801","OR",-0.0203,0.00218442,-0.0797,0.0498
"548",548,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1799831","OR",0.024506,0.00273953,0.0651,0.0608
"549",549,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1801689","OR",-0.06613,0.00577722,0.4349,0.2426
"550",550,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1807542","OR",0.0293,0.00465761,0.0437,0.0998
"551",551,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1823227","OR",-0.01317,0.00225649,-0.029,0.059
"552",552,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1835346","OR",-0.03919,0.00654659,0.2703,0.1948
"553",553,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1840339","OR",-0.0117,0.00213807,-0.0364,0.0517
"554",554,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs184694823","OR",0.021101,0.00373331,0.1218,0.1063
"555",555,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs186696265","OR",-0.10432,0.00828522,-0.0965,0.19
"556",556,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1872992","OR",0.014651,0.00231211,0.0221,0.053
"557",557,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs187544997","OR",0.052723,0.00792251,-0.1129,0.504
"558",558,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs187929675","OR",-0.17115,0.00874914,-0.0923,0.2251
"559",559,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs188247550","OR",-0.13429,0.00913128,0.3833,0.1113
"560",560,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1883711","OR",0.05943,0.00581175,0.1189,0.0985
"561",561,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs193735","OR",0.032981,0.00529922,0.0054,0.0955
"562",562,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1938566","OR",-0.02121,0.00267054,0.0392,0.0567
"563",563,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1997833","OR",0.014833,0.00217219,0.0896,0.0558
"564",564,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2017500","OR",0.011661,0.00200095,-0.0169,0.0482
"565",565,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2035816","OR",-0.02796,0.00358218,-0.2124,0.1393
"566",566,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2043085","OR",-0.0308,0.00204157,0.0029,0.0485
"567",567,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2060250","OR",0.011182,0.00199038,0.0521,0.0482
"568",568,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2068888","OR",-0.03182,0.00199589,-0.1106,0.0479
"569",569,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2071887","OR",0.016312,0.00209671,0.0388,0.0496
"570",570,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2081048","OR",-0.01396,0.00210395,0.0053,0.0509
"571",571,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2081687","OR",-0.02614,0.00209126,-0.0501,0.0492
"572",572,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2131311","OR",-0.01242,0.00222753,-0.0359,0.0535
"573",573,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2131919","OR",0.017351,0.00268396,0.0035,0.0622
"574",574,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs213209","OR",0.012413,0.00223228,0.0213,0.0536
"575",575,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs213494","OR",0.015611,0.00207578,0.0845,0.0533
"576",576,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2137557","OR",0.011762,0.00208003,0.6008,0.0508
"577",577,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2165557","OR",-0.0466,0.0025421,-0.0943,0.0637
"578",578,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2187114","OR",-0.01852,0.00330375,-0.0143,0.0742
"579",579,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2237029","OR",-0.01394,0.00204019,-0.0693,0.0493
"580",580,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2240466","OR",-0.12277,0.00301848,0.0294,0.0721
"581",581,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2240533","OR",-0.01299,0.00215234,0.002,0.0524
"582",582,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2244278","OR",-0.02699,0.00306133,0.1187,0.0833
"583",583,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2267373","OR",0.021564,0.00202145,0.03,0.0487
"584",584,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2276853","OR",0.011126,0.00202312,0.1319,0.0491
"585",585,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2277083","OR",-0.0153,0.00199606,-0.055,0.0479
"586",586,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2278426","OR",-0.04168,0.00539441,0.0238,0.0981
"587",587,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2288004","OR",-0.01503,0.00204495,-0.0218,0.0491
"588",588,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2302104","OR",-0.01432,0.00238202,0.046,0.0544
"589",589,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2302364","OR",0.015642,0.00265758,0.0375,0.07
"590",590,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2382825","OR",-0.01348,0.00204919,-0.0454,0.054
"591",591,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2407278","OR",-0.03394,0.00581961,0.107,0.1084
"592",592,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2420477","OR",-0.01125,0.00200934,-0.0567,0.0484
"593",593,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2425757","OR",0.011933,0.00217069,-0.0018,0.0505
"594",594,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs245051","OR",-0.0121,0.00201604,0.0944,0.0497
"595",595,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2455821","OR",0.013492,0.0022399,0.1169,0.0555
"596",596,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2487294","OR",0.018319,0.00222084,-0.0369,0.0514
"597",597,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2517887","OR",0.014766,0.00244858,0.0624,0.0587
"598",598,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2519093","OR",-0.02116,0.00256189,-0.0138,0.0595
"599",599,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2528787","OR",-0.0114,0.00207214,-0.007,0.0513
"600",600,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs268","OR",0.226897,0.00739462,0.3248,0.1606
"601",601,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs275184","OR",-0.01735,0.00275263,-0.0365,0.0602
"602",602,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2761294","OR",0.018868,0.00207431,0.0468,0.05
"603",603,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2773469","OR",-0.01887,0.00225426,0.0863,0.055
"604",604,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs278981","OR",0.012587,0.00229058,0.0195,0.0572
"605",605,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2800713","OR",0.031299,0.00442594,0.3839,0.0883
"606",606,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs2812208","OR",-0.04843,0.00696323,-0.1382,0.1621
"607",607,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28383314","OR",0.037901,0.00204671,0.132,0.057
"608",608,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28399607","OR",0.033481,0.00450317,-0.1258,0.1166
"609",609,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28481932","OR",0.021732,0.00295687,-0.0544,0.0747
"610",610,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28546518","OR",-0.02507,0.00300879,-0.0314,0.0613
"611",611,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28577186","OR",-0.01634,0.00211672,-0.0545,0.0501
"612",612,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28624578","OR",0.015002,0.00265112,0.085,0.0636
"613",613,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28732146","OR",0.026211,0.0024965,-0.021,0.0626
"614",614,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28752924","OR",0.026556,0.00205701,0.01,0.0544
"615",615,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs28873097","OR",0.011114,0.0019917,0.0568,0.048
